Species	Taxon_id	Filename
Propionibacterium freudenreichii	754252	GCF_000091725-1
Streptococcus thermophilus	1308	GCF_025187365-1
Pediococcus acidilactici	1254	GCF_025188245-1
Lactococcus lactis	1358	GCF_025188735-1
Limosilactobacillus reuteri	1598	GCF_025189665-1
Lactiplantibacillus pentosus	1589	GCF_025190325-1
Lactobacillus helveticus	1587	GCF_025191245-1
Lactobacillus delbrueckii	29397	GCF_025193465-1
Latilactobacillus curvatus	28038	GCF_025193965-1
Lactococcus cremoris	1359	GCF_025211855-1
